No.,True/False,Evidence,Alert Name,Description,Host,Alert Timestamp
21,,,Possible Persistence via SSH Key Injection (root user),"A new file was created or modified within /root/.ssh/ on NIX02, particularly the authorized_keys file. This is commonly used for establishing persistent access by adding an SSH public key, allowing passwordless logins. This activity is highly suspicious if:
- It occurs unexpectedly
- Is not associated with legitimate administrative activity
- Is executed by a non-interactive shell or automated tool",NIX02,"Jun 13, 2025 @ 13:34:00.000"
22,,,Successful Null Session Enumeration (Unauthenticated SMB Access),"WIN01 allowed a null (unauthenticated) session connection via SMB. This technique is often used for reconnaissance to enumerate users, shares, or policies on a Windows host without credentials.",WIN01,"Jun 13, 2025 @ 11:38:00.000"
23,,,Suspicious Process Access – wininit.exe → lsass.exe,"wininit.exe was found accessing the memory space of lsass.exe on WIN01, which can sometimes indicate credential scraping.",WIN01,"Jun 13, 2025 @ 11:40:00.000"
24,,, Possible SMB Brute Force / Password Spraying Attack,Multiple failed SMB login attempts from a single source IP were observed in a short time window on WIN01. This is consistent with brute-force or password spraying behavior.,WIN01,"Jun 13, 2025 @ 13:30:00.000"
25,,,Suspicious Access to PowerShell History File,The PowerShell history file on WIN01 was accessed on. This may indicate that a threat actor is inspecting historical PowerShell commands to identify sensitive data or recon activity.,WIN01,"Jun 13, 2025 @ 13:40:00.000"
26,,,High-Privileged Account Login from an IP Address with Poor Reputation,"A user with high-privilege rights (Administrator) successfully logged into WIN01 from IP address 10.10.16.14, which has previously been associated with malicious activity. . This behavior can indicate stolen credentials, VPN/session hijacking, or lateral movement following compromise.",WIN01,"Jun 13, 2025 @ 14:01:00.000"
27,,,Potential Malware Staging in AppData\Local,"An executable was created in the AppData\Local\ folder of WIN01 — a location commonly used by attackers to stage payloads, drop malware, or store tools in preparation for execution. While some legitimate software may write here, unexpected binaries, archives, or scripts may indicate malicious activity.",WIN01,"Jun 13, 2025 @ 14:01:00.000"
28,,,Suspicious Scheduled Task with AppData\Local Path,"A new scheduled task was created on WIN01 with its executable located in a user’s AppData\Local\ directory. This location is commonly abused by attackers for staging malicious tools and achieving persistence via scheduled tasks. While legitimate software may occasionally use this path, it is unusual and often warrants investigation.",WIN01,"Jun 13, 2025 @ 14:05:00.000"
29,,,Suspicious Process Access – powershell.exe → lsass.exe,"powershell.exe was found accessing the memory space of lsass.exe on WIN01, which can sometimes indicate credential scraping.",WIN01,"Jun 13, 2025 @ 14:07:00.000"
30,,,Suspicious Process Access – svchost.exe → lsass.exe,"svchost.exe was found accessing the memory space of lsass.exe on WIN01, which can sometimes indicate credential scraping.",WIN01,"Jun 13, 2025 @ 14:15:00.000"
31,,,Suspicious Process Access – svchost.exe → lsass.exe,"svchost.exe was found accessing the memory space of lsass.exe on WIN02, which can sometimes indicate credential scraping.",WIN02,"Jun 13, 2025 @ 11:38:00.000"
32,,,Successful Null Session Enumeration (Unauthenticated SMB Access),"WIN02 allowed a null (unauthenticated) session connection via SMB. This technique is often used for reconnaissance to enumerate users, shares, or policies on a Windows host without credentials.",WIN02,"Jun 13, 2025 @ 14:21:00.000"
33,,, Possible SMB Brute Force / Password Spraying Attack,Multiple failed SMB login attempts from a single source IP were observed in a short time window on WIN02. This is consistent with brute-force or password spraying behavior.,WIN02,"Jun 13, 2025 @ 14:25:00.000"
34,,,Suspicious Reconnaissance Activity,"Multiple enumeration-related commands (whoami, whoami /priv, whoami /groups, etc.) were executed within a short timeframe on WIN02. This activity is consistent with system enumeration behavior, which may be part of routine administrative tasks, but it may also indicate post-compromise reconnaissance aimed at identifying users, credentials, or sensitive files.",WIN02,"Jun 13, 2025 @ 14:29:00.000"
35,,,Headless Command Shell Execution via conhost.exe,"A command prompt (cmd.exe) was launched on WIN02 under a headless conhost.exe instance with specific flags for width, height, and signal handling. This execution pattern is often flagged as suspicious due to its non-interactive and non-visible nature — common in malware staging or stealthy execution. However, this behavior is also typical of legitimate system operations, such as:
- Scheduled tasks running console commands
- Remote or headless administration
- Background automation via PowerShell or internal services
- Installer or updater scripts launching cmd.exe silently",WIN02,"Jun 13, 2025 @ 14:30:00.000"
36,,,Suspicious Password Change via Command Line,"The net user command was used through PowerShell on WIN02 to change the password of an existing local user (Administrator). While this can be legitimate (e.g., IT support), it may also indicate attacker activity aiming to maintain or escalate access after compromise.",WIN02,"Jun 13, 2025 @ 14:41:00.000"
37,,,High-Privileged Account Login from an IP Address with Poor Reputation,"A user with high-privilege rights (Administrator) successfully logged into WIN02 from IP address 10.10.16.14, which has previously been associated with malicious activity. This behavior can indicate stolen credentials, VPN/session hijacking, or lateral movement following compromise.",WIN02,"Jun 13, 2025 @ 14:42:00.000"
38,,,Unusual Inter-Process Thread Injection Between RDP Clipboard and CSRSS,"The rdpclip.exe process (Remote Desktop Clipboard Utility) on WIN02 created a remote thread within csrss.exe (Client/Server Runtime Subsystem). This behavior is often associated with suspicious inter-process activity, such as process injection; however, it can also be legitimate in scenarios that involves inter-process communication.",WIN02,"Jun 13, 2025 @ 14:43:00.000"
39,,,rundll32.exe Executing a DLL with Unusual Arguments,"rundll32.exe was observed on WIN02 executing with the following command-line arguments C:\Windows\System32\rundll32.exe C:\Windows\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding. This pattern can resemble malicious behavior due to its use of DLLs and indirect execution via rundll32, but it is commonly tied to legitimate Windows shell operations, Control Panel processes, or COM server initialization.",WIN02,"Jun 13, 2025 @ 14:44:00.000"
